id,name,layer,omics,importance
SNV_layer_3_24,R-HSA-1566948,layer_3,SNV,16.117575
mrna_layer_3_13,R-HSA-983712,layer_3,mrna,5.5886364
SNV_layer_2_69,R-HSA-9820841,layer_2,SNV,5.541074
CNV_layer_1_32,R-HSA-9639288,layer_1,CNV,5.447405
CNV_layer_3_22,R-HSA-1474228,layer_3,CNV,5.332334
CNV_layer_2_65,R-HSA-203641,layer_2,CNV,4.982194
SNV_layer_2_68,R-HSA-9819196,layer_2,SNV,4.3779616
mrna_layer_3_7,R-HSA-425407,layer_3,mrna,3.0687068
SNV_layer_1_133,R-HSA-9818564,layer_1,SNV,2.6896374
SNV_layer_1_134,R-HSA-381676,layer_1,SNV,2.5580614
mrna_layer_2_16,R-HSA-5387390,layer_2,mrna,2.5215478
SNV_layer_1_135,R-HSA-399997,layer_1,SNV,2.2789764
mrna_layer_1_26,R-HSA-1369062,layer_1,mrna,2.2069402
mrna_layer_2_33,R-HSA-211945,layer_2,mrna,2.1254325
CNV_layer_3_25,R-HSA-1566977,layer_3,CNV,2.1182709
CNV_layer_1_680,R-HSA-140342,layer_1,CNV,2.0938783
CNV_layer_2_73,R-HSA-2892247,layer_2,CNV,1.9645789
mrna_layer_1_65,R-HSA-3000480,layer_1,mrna,1.9182488
CNV_layer_2_64,R-HSA-203615,layer_2,CNV,1.8626292
SNV_layer_2_3,R-HSA-9837092,layer_2,SNV,1.7056167
SNV_layer_1_136,R-HSA-400451,layer_1,SNV,1.6611346
CNV_layer_2_387,R-HSA-977347,layer_2,CNV,1.5816581
CNV_layer_1_23,R-HSA-389977,layer_1,CNV,1.5675408
mrna_layer_2_32,R-HSA-156580,layer_2,mrna,1.4811367
mrna_layer_2_34,R-HSA-5423646,layer_2,mrna,1.4406036
mrna_layer_1_64,R-HSA-6798163,layer_1,mrna,1.4101385
CNV_layer_1_26,R-HSA-1369062,layer_1,CNV,1.3414931
CNV_layer_2_22,R-HSA-381340,layer_2,CNV,1.3137981
mrna_layer_1_280,R-HSA-5610780,layer_1,mrna,1.2735677
CNV_layer_1_63,R-HSA-70921,layer_1,CNV,1.2390094
mrna_layer_1_215,R-HSA-9707616,layer_1,mrna,1.2062472
SNV_layer_1_13,R-HSA-2473224,layer_1,SNV,1.1344457
SNV_layer_2_13,R-HSA-112314,layer_2,SNV,1.0349644
mrna_input_8919,TFF1,input,mrna,0.9219679
mrna_input_7667,RPS4Y1,input,mrna,0.921486
mrna_input_7993,SHH,input,mrna,0.9201105
mrna_input_5265,MUC5AC,input,mrna,0.9115459
mrna_input_3191,GJB3,input,mrna,0.90566784
CNV_layer_3_9,R-HSA-5223345,layer_3,CNV,0.8932734
CNV_layer_3_137,R-HSA-2586552,layer_3,CNV,0.89106035
SNV_input_8223,TP53,input,SNV,0.87824124
SNV_layer_3_5,R-HSA-174824,layer_3,SNV,0.8660008
SNV_input_8408,TTN,input,SNV,0.8319866
SNV_input_4774,MUC16,input,SNV,0.82636964
mrna_layer_2_117,R-HSA-5578749,layer_2,mrna,0.8163062
SNV_input_6981,RYR2,input,SNV,0.81284267
CNV_input_2617,FASLG,input,CNV,0.79586786
CNV_input_7179,RGSL1,input,CNV,0.79434747
CNV_input_5458,NPL,input,CNV,0.79429585
CNV_input_2071,DHX9,input,CNV,0.79429585
CNV_input_8971,TSEN15,input,CNV,0.7941866
CNV_layer_3_29,R-HSA-8941237,layer_3,CNV,0.73855776
SNV_input_8784,XIRP2,input,SNV,0.7272863
CNV_layer_4_2,R-HSA-1266738,layer_4,CNV,0.6449306
SNV_layer_2_349,R-HSA-9012852,layer_2,SNV,0.39040858
SNV_layer_3_129,R-HSA-927802,layer_3,SNV,0.37058643
mrna_layer_3_11,R-HSA-8981607,layer_3,mrna,0.28100255
SNV_layer_4_5,R-HSA-1474244,layer_4,SNV,0.25088772
mrna_layer_4_9,R-HSA-1643685,layer_4,mrna,0.2121821
mrna_layer_3_116,R-HSA-9645723,layer_3,mrna,0.1600018
mrna_layer_3_45,R-HSA-196854,layer_3,mrna,0.14657539
SNV_layer_3_74,R-HSA-5676934,layer_3,SNV,0.1253109
SNV_layer_3_10,R-HSA-8949215,layer_3,SNV,0.120039806
SNV_layer_4_27,R-HSA-9709957,layer_4,SNV,0.090555824
mrna_layer_4_2,R-HSA-1266738,layer_4,mrna,0.08769724
SNV_layer_4_24,R-HSA-8963743,layer_4,SNV,0.070439994
CNV_layer_4_5,R-HSA-1474244,layer_4,CNV,0.062292
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,0.0074106366
CNV_layer_4_17,R-HSA-5357801,layer_4,CNV,0.0067915143
CNV_layer_4_25,R-HSA-9609507,layer_4,CNV,0.0053846673
mrna_layer_4_15,R-HSA-400253,layer_4,mrna,0.00488555
SNV_layer_4_3,R-HSA-1430728,layer_4,SNV,0.0018639409
CNV_layer_4_8,R-HSA-1640170,layer_4,CNV,0.0015627871
mrna_layer_4_22,R-HSA-8953854,layer_4,mrna,0.001000501
mrna_layer_4_7,R-HSA-162582,layer_4,mrna,0.00066468434
